,CountryName,CountryCode,BirthRate,Expectancy
237,Switzerland,CHE,9.9,83.1
238,Syrian Arab Republic,SYR,22.71,73.651
239,Tajikistan,TJK,29.227,71.301
240,Tanzania,TZA,35.981,65.815
241,Thailand,THA,9.987,77.344
242,Timor-Leste,TLS,29.023,69.712
243,Togo,TGO,32.334,61.34
244,Tonga,TON,23.754,71.018
245,Trinidad and Tobago,TTO,12.235,73.628
246,Tunisia,TUN,16.604,76.891
247,Turkiye,TUR,15.531,77.928
248,Turkmenistan,TKM,22.348,68.313
251,Uganda,UGA,36.674,63.713
252,Ukraine,UKR,7.8,71.1851219512195
253,United Arab Emirates,ARE,10.126,78.12
254,United Kingdom,GBR,10.2,80.9024390243903
255,United States,USA,10.9,77.2804878048781
256,Uruguay,URY,13.616,78.056
257,Uzbekistan,UZB,24.6,71.848
258,Vanuatu,VUT,28.763,70.623
259,"Venezuela, RB",VEN,17.297,72.066
260,Vietnam,VNM,16.12,75.493
261,Virgin Islands (U.S.),VIR,12.1,79.819512195122
262,West Bank and Gaza,PSE,28.214,74.213
263,"Yemen, Rep.",YEM,29.304,66.181
264,Zambia,ZMB,35.443,64.194
265,Zimbabwe,ZWE,28.977,61.738
