,CountryName,CountryCode,BirthRate,GDP,totalGDP
180,Mongolia,MNG,22.564,4060.95051770038,13312981594.573
181,Montenegro,MNE,11.4,7694.6337585059,4780722121.96227
182,Morocco,MAR,18.099,3058.69165039063,114725065285.149
183,Mozambique,MOZ,36.808,448.843891366822,14028811071.7628
184,Myanmar,MMR,17.233,1450.66267347182,78930257227.0908
185,Namibia,NAM,27.659,4157.01950619148,10562637375.594
187,Nepal,NPL,19.256,1147.47197125836,33433670511.9364
188,Netherlands,NLD,9.7,52396.0322099525,913865395789.886
189,New Caledonia,NCL,13.783,34694.5504017028,9435529927.2471
190,New Zealand,NZL,11.32,41596.5055023403,211734532308.013
191,Nicaragua,NIC,19.788,1900.04359427589,12586941392.6347
192,Niger,NER,45.213,567.669892261611,13741378450.136
193,Nigeria,NGA,37.011,2097.09247289022,432293776262.398
194,North Macedonia,MKD,9.2,5846.46589856854,12116981815.2261
196,Norway,NOR,9.8,67329.6777910967,362198318435.26
197,Oman,OMN,17.782,14485.3861157973,73971391417.4252
198,Pakistan,PAK,27.379,1359.51452156874,300306331697.668
199,Palau,PLW,11.0,14243.8646915764,257700000.0
200,Panama,PAN,18.451,12509.8352912602,53977037000.0
201,Papua New Guinea,PNG,26.522,2757.01101864579,24667052023.1214
202,Paraguay,PRY,20.093,4967.68721171529,35432178068.1756
203,Peru,PER,17.544,6117.49357129272,201705055938.653
204,Philippines,PHL,19.89,3301.21860257673,361751116292.541
205,Poland,POL,9.4,15742.4537256368,596624355719.671
206,Portugal,PRT,8.2,22194.566114935,228539245045.341
207,Puerto Rico,PRI,5.6,31429.8661176558,103138300000.0
208,Qatar,QAT,9.226,50124.3859361728,144411363345.27
209,Romania,ROU,9.2,12956.5662477568,249511333647.502
210,Russian Federation,RUS,9.8,10161.982421875,1488321875489.74
211,Rwanda,RWA,30.725,786.301814784707,10184345442.1708
212,Samoa,WSM,23.855,4068.07886505264,807147527.615094
213,San Marino,SMR,6.4,45515.7576957013,1544713784.67671
214,Sao Tome and Principe,STP,30.811,2157.84044569668,472914469.91933
215,Saudi Arabia,SAU,16.814,20203.6688777651,703367841222.555
216,Senegal,SEN,33.418,1462.80816888438,24493157583.2282
217,Serbia,SRB,8.9,7730.69174637698,53335016425.4148
218,Seychelles,SYC,15.8,12193.8868736001,1200634489.34841
219,Sierra Leone,SLE,32.354,509.376593987322,4063289449.58795
220,Singapore,SGP,8.5,60729.4503486794,345295933898.674
222,Slovak Republic,SVK,10.4,19266.5135736247,105172564491.569
223,Slovenia,SVN,8.9,25489.5002284083,53589609580.7099
224,Solomon Islands,SLB,31.447,2250.6011638607,1545888426.23031
225,Somalia,SOM,41.406,438.255165584868,6965285324.52156
226,South Africa,ZAF,19.773,5655.86765390396,335442101366.417
228,Spain,ESP,7.1,27056.4217512166,1281484640043.58
229,Sri Lanka,LKA,15.253,3694.0409479198,80969683537.4541
231,St. Lucia,LCA,11.656,8804.56108865238,1616772748.14815
233,St. Vincent and the Grenadines,VCT,13.938,7860.82135437107,872134546.803407
234,Sudan,SDN,31.491,615.462097167969,26987563444.1489
235,Suriname,SUR,18.053,4916.60566637918,2884248048.49068
236,Sweden,SWE,10.9,52300.2061994993,541487151474.557
237,Switzerland,CHE,9.9,87100.4148213751,752248045730.11
239,Tajikistan,TJK,29.227,852.830987774963,8133996647.90397
240,Tanzania,TZA,35.981,1076.4697265625,62409709110.9538
241,Thailand,THA,9.987,7158.76668372256,499681757030.968
242,Timor-Leste,TLS,29.023,1442.73073825015,1902156800.0
243,Togo,TGO,32.334,914.950792453214,7574636978.66175
244,Tonga,TON,23.754,4624.82344882844,488829964.070819
245,Trinidad and Tobago,TTO,12.235,15285.9404867715,21392536137.7724
246,Tunisia,TUN,16.604,3597.21852540455,42514151614.2796
247,Turkiye,TUR,15.531,8536.43331960632,719954821683.31
251,Uganda,UGA,36.674,822.027681531666,37600368180.9399
252,Ukraine,UKR,7.8,3751.74072265625,156617861448.576
253,United Arab Emirates,ARE,10.126,36284.5552429552,358868765174.924
254,United Kingdom,GBR,10.2,41098.0786527828,2756900214107.32
255,United States,USA,10.9,63027.6795267153,20893743833000.0
256,Uruguay,URY,13.616,15418.8153089096,53560755046.5726
257,Uzbekistan,UZB,24.6,1749.65581532206,59894305352.8955
258,Vanuatu,VUT,28.763,2919.83679998348,896827873.114925
260,Vietnam,VNM,16.12,3526.27457939624,343242570827.351
261,Virgin Islands (U.S.),VIR,12.1,39552.1685953523,4204000000.0
262,West Bank and Gaza,PSE,28.214,3233.56863835858,15531700000.0
263,"Yemen, Rep.",YEM,29.304,631.681490044125,18840511908.2484
264,Zambia,ZMB,35.443,985.132436038869,18110631358.3114
265,Zimbabwe,ZWE,28.977,1214.50982023534,18051170798.941
